|id |id_categoria_produto|nome                               |descricao|createdAt                    |updatedAt                    |link_imagem                                                                                          |
|118|29                  |Cappuccino                         |         |2024-12-18 21:14:01.170 -0300|2025-06-18 17:07:57.895 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/9db2464e-5ef8-4bd4-84b0-3ffac7738e12.png|
|388|32                  |Arroz Oriental                     |         |2024-12-18 22:17:09.469 -0300|2025-06-23 14:22:07.885 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/b185e160-41f4-4a33-9dac-98dcde0a41fe.png|
|172|33                  |Bolo de Páscoa                     |         |2024-12-18 21:23:06.866 -0300|2025-06-23 14:24:14.102 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/018712ca-17df-4d84-b129-3ec7d3e433d6.png|
|120|29                  |Café em Cápsula                    |         |2024-12-18 21:14:09.054 -0300|2025-06-23 14:25:58.276 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/66d619da-33a6-48d4-bc6c-57f190121170.png|
|371|35                  |Doce de Mocotó                     |         |2024-12-18 22:05:54.493 -0300|2025-06-23 14:29:12.115 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/91911663-4373-40ee-8fbf-0b02aa9be276.png|
|375|32                  |Farinha para Milanesa              |         |2024-12-18 22:07:29.288 -0300|2025-06-23 14:30:31.383 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/ef30f0f9-c833-4a33-b3b5-30231cc221f9.png|
|348|30                  |Nata                               |         |2024-12-18 22:00:08.838 -0300|2025-06-23 14:33:25.071 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/735d4b28-b8ce-4403-a08c-6a410db6575f.png|
|341|33                  |Pão de Forma Integral              |         |2024-12-18 21:59:08.131 -0300|2025-06-23 14:35:10.346 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/0f36cc04-8cba-4edf-9ff9-87ab2a7d1468.png|
|173|33                  |Pão para Hambúrguer                |         |2024-12-18 21:23:34.707 -0300|2025-06-23 14:35:36.354 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/f93b3ff8-4bbf-4a1c-857b-9ddb008d6b58.png|
|407|37                  |Pepino em Conserva                 |         |2024-12-18 22:27:15.295 -0300|2025-06-23 14:37:15.029 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/5a34f695-2ff7-4c51-ad21-2f779207328e.png|
|400|31                  |Frango Vegetal                     |         |2024-12-18 22:22:01.061 -0300|2025-06-23 14:55:11.865 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/80d01b14-ef8d-4581-84bd-c49fa085761c.png|
|410|33                  |Pão de Mel                         |         |2024-12-18 22:30:46.579 -0300|2025-06-23 16:18:27.352 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/2acd0f2f-5fad-404b-a876-e477db5822a1.png|
|342|33                  |Pão de Fermentação Natural         |         |2024-12-18 21:59:09.456 -0300|2025-06-23 16:19:29.772 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/ef062922-edca-406a-8a30-93a1c908f1f4.png|
|398|31                  |Cubinho Vegetal                    |         |2024-12-18 22:21:58.722 -0300|2025-06-24 14:58:44.954 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/2e8639ef-8167-4a6a-b855-00f79c41c621.png|
|356|36                  |Miúdo Suíno                        |         |2024-12-18 22:02:33.740 -0300|2025-06-24 15:14:38.612 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/0a1f9d23-85be-4134-b8d2-7cd118c51ffa.png|
|338|30                  |Fórmula Infantil                   |         |2024-12-18 21:57:51.923 -0300|2025-10-07 18:10:34.179 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/253976f7-bdd8-4a9d-9f9a-5c7b909c6f3f.jpg|
|381|36                  |Banha                              |         |2024-12-18 22:12:38.401 -0300|2024-12-18 22:12:38.401 -0300|                                                                                                     |
|139|33                  |Panettone                          |         |2024-12-18 21:17:37.885 -0300|2025-01-29 17:45:57.575 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/4f0d5398-e396-40dd-905e-2053646ff902.png|
|396|31                  |Bife Vegetal                       |         |2024-12-18 22:21:54.407 -0300|2025-06-16 16:12:06.114 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/34c36266-2ee3-47e2-8269-7172d91f2faa.png|
|392|36                  |Sopa Congelada                     |         |2024-12-18 22:18:50.732 -0300|2025-06-16 16:14:00.815 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/4f72a141-08b6-4e9b-85dd-b0b14d7eda48.png|
|411|33                  |Pão Brioche                        |         |2024-12-18 22:30:49.475 -0300|2025-06-16 16:04:38.277 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/4dfa31c2-9f00-417f-a1bc-e788dd3de330.png|
|406|37                  |Palmito em Conserva                |         |2024-12-18 22:27:12.362 -0300|2025-06-16 16:06:15.317 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/5b8533d2-97fe-4706-8284-c1eacee14bd5.png|
|404|30                  |Queijo Suíço                       |         |2024-12-18 22:24:57.324 -0300|2025-06-16 16:07:26.867 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/b445ae3a-3b3f-4e12-97d2-18e2f6ddafc8.png|
|401|31                  |Medalhão Vegetal                   |         |2024-12-18 22:22:03.152 -0300|2025-06-16 16:09:08.596 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/428ee639-d494-4736-86d0-7a3d110e122b.png|
