|id |titulo                                             |descricao                                          |data_inicio                  |data_fim                     |ativo|createdAt                    |updatedAt                    |id_subcategoria_produto|id_categoria_produto|precisa_cadastro_completo|id_campanha|
|32 |Pesquisa de mercado Café em Sachê - Drip Coffee    |Pesquisa de mercado Café em Sachê - Drip Coffee    |2025-02-05 11:50:25.000 -0300|2031-03-01 11:50:25.000 -0300|true |2025-02-05 11:51:06.816 -0300|2025-02-05 11:51:06.816 -0300|115                    |29                  |true                     |           |
|33 |Pesquisa de mercado Café com Leite Solúvel         |Pesquisa de mercado Café com Leite Solúvel         |2025-02-05 17:05:09.000 -0300|2031-03-01 17:05:09.000 -0300|true |2025-02-05 17:21:26.527 -0300|2025-02-05 17:21:26.527 -0300|116                    |29                  |true                     |           |
|39 |Pesquisa de mercado Energéticos                    |Pesquisa de mercado Energéticos                    |2025-02-10 14:00:48.000 -0300|2030-03-02 14:00:48.000 -0300|true |2025-02-10 14:03:33.294 -0300|2025-02-10 14:03:33.294 -0300|125                    |29                  |true                     |           |
|40 |Pesquisa de mercado Bebida a Base de Amêndoas      |Pesquisa de mercado Bebida a Base de Amêndoas      |2025-02-10 16:15:12.000 -0300|2031-03-01 16:15:12.000 -0300|true |2025-02-10 16:27:09.884 -0300|2025-02-10 16:27:09.884 -0300|128                    |29                  |true                     |           |
|41 |Pesquisa de mercado Bebida a Base de Aveia         |Pesquisa de mercado Bebida a Base de Aveia         |2025-02-10 16:28:16.000 -0300|2031-03-01 16:28:16.000 -0300|true |2025-02-10 16:40:11.472 -0300|2025-02-10 16:40:11.472 -0300|129                    |29                  |true                     |           |
|50 |- Chás                                             |Pesquisa de mercado Chás                           |2025-02-11 17:12:10.000 -0300|2031-03-01 17:12:10.000 -0300|true |2025-02-11 17:35:23.277 -0300|2025-06-17 16:24:52.975 -0300|311                    |29                  |true                     |           |
|49 |- Smoothie                                         |Pesquisa de mercado Smoothie                       |2025-02-11 16:28:13.000 -0300|2031-03-01 16:28:13.000 -0300|true |2025-02-11 16:28:32.454 -0300|2025-06-17 16:25:06.382 -0300|237                    |29                  |true                     |           |
|48 |- Água de Coco                                     |Pesquisa de mercado Água de Coco                   |2025-02-11 16:02:07.000 -0300|2031-03-01 16:02:07.000 -0300|true |2025-02-11 16:15:29.824 -0300|2025-06-17 16:25:18.101 -0300|234                    |29                  |true                     |           |
|47 |- Néctar                                           |Pesquisa de mercado Néctar                         |2025-02-11 15:50:13.000 -0300|2031-03-01 15:50:13.000 -0300|true |2025-02-11 16:01:35.765 -0300|2025-06-17 16:25:31.498 -0300|235                    |29                  |true                     |           |
|46 |- Refresco Líquido                                 |                                                   |2025-02-11 15:47:24.000 -0300|2031-03-01 15:47:24.000 -0300|true |2025-02-11 15:47:33.215 -0300|2025-06-17 16:25:43.697 -0300|232                    |29                  |true                     |           |
|45 |- Sucos                                            |Pesquisa de mercado Sucos                          |2025-02-11 15:20:12.000 -0300|2030-03-02 15:20:12.000 -0300|true |2025-02-11 15:30:42.551 -0300|2025-06-17 16:25:55.704 -0300|157                    |29                  |true                     |           |
|44 |- Refrigerantes                                    |Pesquisa de mercado Refrigerantes                  |2025-02-10 17:00:43.000 -0300|2030-03-02 17:00:43.000 -0300|true |2025-02-10 17:09:32.851 -0300|2025-06-17 16:26:16.702 -0300|225                    |29                  |true                     |           |
|42 |- Bebida à Base de Leite Coco                      |Pesquisa de mercado Bebida a Base de Coco          |2025-02-10 16:40:47.000 -0300|2031-03-01 16:40:47.000 -0300|true |2025-02-10 16:49:30.039 -0300|2025-06-17 16:26:54.606 -0300|236                    |29                  |true                     |           |
|12 |Pesquisa de mercado Pão para Hambúrguer            |Pesquisa de mercado Pão para Hambúrguer            |2025-01-30 15:32:25.000 -0300|2030-02-02 15:32:25.000 -0300|true |2025-01-30 15:55:19.181 -0300|2025-07-14 16:15:06.074 -0300|173                    |33                  |true                     |           |
|109|- Vinho Rosé                                       |                                                   |2025-06-26 09:21:23.000 -0300|2030-07-06 09:21:23.000 -0300|true |2025-06-26 09:39:26.446 -0300|2025-06-26 09:39:26.446 -0300|156                    |34                  |true                     |           |
|110|- Chocolate Quente em Cápsula                      |-                                                  |2025-06-26 10:19:17.000 -0300|2032-07-03 10:19:17.000 -0300|true |2025-06-26 10:51:47.620 -0300|2025-06-26 10:51:47.620 -0300|122                    |29                  |true                     |           |
|51 |- Chá Pronto                                       |Pesquisa de mercado Chás Prontos                   |2025-02-11 17:35:45.000 -0300|2031-03-01 17:35:45.000 -0300|true |2025-02-11 17:45:52.012 -0300|2025-06-25 14:55:10.959 -0300|312                    |29                  |true                     |           |
|55 |- Cenoura em Conserva                              |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:03.974 -0300|2025-06-25 15:17:03.974 -0300|212                    |37                  |true                     |           |
|56 |- Ervilha em Conserva                              |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:04.293 -0300|2025-06-25 15:17:04.293 -0300|215                    |37                  |true                     |           |
|57 |- Milho Verde em Conserva                          |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:04.540 -0300|2025-06-25 15:17:04.540 -0300|216                    |37                  |true                     |           |
|58 |- Batata em Conserva                               |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:04.786 -0300|2025-06-25 15:17:04.786 -0300|264                    |37                  |true                     |           |
|60 |- Seleta de Legumes em Conserva                    |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:05.287 -0300|2025-06-25 15:17:05.287 -0300|268                    |37                  |true                     |           |
|61 |- Azeitona em Conserva                             |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:05.524 -0300|2025-06-25 15:17:05.524 -0300|270                    |37                  |true                     |           |
|62 |- Pimenta em Conserva                              |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:05.945 -0300|2025-06-25 15:17:05.945 -0300|329                    |37                  |true                     |           |
|63 |- Gengibre em Conserva                             |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:06.199 -0300|2025-06-25 15:17:06.199 -0300|389                    |37                  |true                     |           |
|64 |- Palmito em Conserva                              |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:06.429 -0300|2025-06-25 15:17:06.429 -0300|406                    |37                  |true                     |           |
|66 |- Tomate Seco em Conserva                          |                                                   |2025-06-25 14:47:09.000 -0300|2030-07-06 14:47:09.000 -0300|true |2025-06-25 15:17:06.932 -0300|2025-06-25 15:17:06.932 -0300|408                    |37                  |true                     |           |
|67 |- Sardinha em Conserva                             |-                                                  |2025-06-25 16:07:07.000 -0300|2030-07-06 16:07:07.000 -0300|true |2025-06-25 16:07:20.701 -0300|2025-06-25 16:07:20.701 -0300|273                    |37                  |true                     |           |
|68 |- Atum em Conserva                                 |-                                                  |2025-06-25 16:07:07.000 -0300|2030-07-06 16:07:07.000 -0300|true |2025-06-25 16:07:21.013 -0300|2025-06-25 16:07:21.013 -0300|272                    |37                  |true                     |           |
|69 |- Queijo Provolone                                 |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:47.135 -0300|2025-06-25 16:29:47.135 -0300|192                    |30                  |true                     |           |
|70 |- Queijo Azul                                      |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:47.424 -0300|2025-06-25 16:29:47.424 -0300|193                    |30                  |true                     |           |
|71 |- Queijo Processado                                |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:47.675 -0300|2025-06-25 16:29:47.675 -0300|194                    |30                  |true                     |           |
|72 |- Queijo Gorgonzola                                |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:47.950 -0300|2025-06-25 16:29:47.950 -0300|195                    |30                  |true                     |           |
|73 |- Queijo Minas                                     |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:48.190 -0300|2025-06-25 16:29:48.190 -0300|196                    |30                  |true                     |           |
|74 |- Queijo Mussarela                                 |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:48.425 -0300|2025-06-25 16:29:48.425 -0300|197                    |30                  |true                     |           |
|75 |- Queijo Parmesão                                  |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:48.669 -0300|2025-06-25 16:29:48.669 -0300|198                    |30                  |true                     |           |
|76 |- Queijo Ralado                                    |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:48.912 -0300|2025-06-25 16:29:48.912 -0300|199                    |30                  |true                     |           |
|77 |- Queijo Brie                                      |                                                   |2025-06-25 16:18:28.000 -0300|2030-07-06 16:18:28.000 -0300|true |2025-06-25 16:29:49.152 -0300|2025-06-25 16:29:49.152 -0300|200                    |30                  |true                     |           |
