|gtin_ean     |link_imagem_anterior                                                                                 |
|7897517209667|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a67cda65-e7d2-477b-9037-5878bb3ff7fd.png|
|7891008109368|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/8e9c449c-fc50-41b1-804a-a578ba4ef8f8.png|
|7891167011670|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/6e8378c6-588a-428c-a75d-8957af448a33.png|
|7891167011687|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/d41114a5-fe6c-42cf-abc8-a27106d2b5ab.png|
|7891167022065|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a1ef8d48-a2b0-4ba1-a0de-a5789bb2bd33.png|
|7411000345733|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/04461043-d7a8-42a2-aabb-38ef8e2a264d.png|
|7891150035959|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/7bbadcad-bf7d-425a-b313-c6de1f958db9.png|
|7891150071230|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/2618d2a2-06aa-4a92-b716-f511abbccd82.png|
|7891150078611|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/b5496de0-7347-44f9-8742-9284c756e1ec.png|
|7891150097940|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/ca70fab4-cae4-4437-84f5-18d8df977c8f.png|
|7894000030470|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/16bc8e20-426b-444d-9eed-aa1097073f46.png|
|7896051127093|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/666fdf6f-c591-42a9-9b6c-a45710c72945.png|
|7896051135111|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/d945462a-8d48-410b-9e78-e559461136e4.png|
|7896051135128|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/dd53d9ed-d55e-46e7-a060-15ca3fd543da.png|
|7896051166030|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/0c7bdff1-3a00-438f-a2cc-b20585539327.png|
|7896051166047|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/51ce6899-1d01-4873-a988-cc253822f41e.png|
|7896051167181|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/43704462-c50d-4f20-96ca-7440446bb633.png|
|7896051167532|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/d6a9c19e-ca1b-4585-b2b8-45afd3e5773b.png|
|7896283000157|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/ecea0ebd-6424-4834-be96-264ca580c6c7.png|
|7896283000409|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/40e6309d-6501-46a1-b520-3fba958bdad3.png|
|7896283000430|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/21cbccd9-59be-4cc3-ae9e-8e2c201a9fd9.png|
|7896283000508|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/d113a54e-6bf1-47ad-96a0-9e3d5e606c5b.png|
|7896283001000|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/304c28ac-ea9c-4fc9-84b5-2bf429a3bd9e.png|
|7896283001093|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/45503989-3bf1-43c7-8224-665dfedce5bc.png|
|7896283002229|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/bcc07539-47ea-46b3-ada7-2b12e80a9f6d.png|
|7896283002427|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/fefabb8d-40cb-4b98-86b5-25de488a67cb.png|
|7896283002434|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/0f7f4bfe-104d-4785-ace4-d91df040b5a2.png|
|7896283003059|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/853eb0e1-94b5-4671-9c15-a1e9467b3f60.png|
|7896283006159|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/e3d0bc79-6d35-4555-897d-f39b840d1c1e.png|
|7896283006715|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/518c54ef-7772-4811-8dfe-8e8b995a1105.png|
|7896283007262|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/08b43275-553c-4470-98b5-7df29944e09e.png|
|7896283007279|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/fd8469d1-6f8e-4a0f-8261-d468967de043.png|
|7896004000534|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/4af33b04-eb18-4bb3-ba3c-0caf7340b8c4.png|
|7896004004549|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/f6fc8996-a36a-48cb-b668-27fdc9c87dc0.png|
|7896004004914|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/517747a3-7ee2-492c-aa19-1f22c0f9ba5a.png|
|7896004006291|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/28bc017f-a08f-4f92-9e34-7f26856416ca.png|
|7896004007199|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/6f1a41c7-1e50-4491-8551-875dba21a13b.png|
|7896004007618|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a63187ab-1bd7-456c-baf9-2f03a4ee9f77.png|
|7896004007748|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/de226448-fa1a-4e63-9f9d-24e7fa00f742.png|
|7896004007755|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/17b8e7d3-c1e5-4201-989b-22fe9565b764.png|
|7896004007786|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a0ccae31-a5cf-4a69-9f8e-65fa12e94a17.png|
