|id |nome              |createdAt                    |updatedAt                    |deletedAt                    |id_empresa|link_imagem                                                                                           |
|105|PIRACANJUBA       |2025-03-10 13:49:02.076 -0300|2025-03-10 13:49:02.076 -0300|                             |188       |                                                                                                      |
|106|PIRAQUÊ           |2025-03-10 13:49:02.285 -0300|2025-03-10 13:49:02.285 -0300|                             |129       |                                                                                                      |
|107|PREDILECTA        |2025-03-10 13:49:02.489 -0300|2025-03-10 13:49:02.489 -0300|                             |143       |                                                                                                      |
|108|PRESTÍGIO         |2025-03-10 13:49:02.697 -0300|2025-03-10 13:49:02.697 -0300|                             |149       |                                                                                                      |
|109|PULLMAN           |2025-03-10 13:49:02.906 -0300|2025-03-10 13:49:02.906 -0300|                             |193       |                                                                                                      |
|111|QUAKER            |2025-03-10 13:49:03.326 -0300|2025-03-10 13:49:03.326 -0300|                             |92        |                                                                                                      |
|112|QUALY             |2025-03-10 13:49:03.531 -0300|2025-03-10 13:49:03.531 -0300|                             |192       |                                                                                                      |
|113|QUERO             |2025-03-10 13:49:03.714 -0300|2025-03-10 13:49:03.714 -0300|                             |170       |                                                                                                      |
|114|RED BULL          |2025-03-10 13:49:03.918 -0300|2025-03-10 13:49:03.918 -0300|                             |196       |                                                                                                      |
|115|RED HORSE         |2025-03-10 13:49:04.124 -0300|2025-03-10 13:49:04.124 -0300|                             |142       |                                                                                                      |
|117|RICHESTER         |2025-03-10 13:49:04.539 -0300|2025-03-10 13:49:04.539 -0300|                             |129       |                                                                                                      |
|118|ROCKET FUEL       |2025-03-10 13:49:04.749 -0300|2025-03-10 13:49:04.749 -0300|                             |198       |                                                                                                      |
|119|SADIA             |2025-03-10 13:49:04.929 -0300|2025-03-10 13:49:04.929 -0300|                             |192       |                                                                                                      |
|120|SAKURA            |2025-03-10 13:49:05.164 -0300|2025-03-10 13:49:05.164 -0300|                             |199       |                                                                                                      |
|121|SANTA CLARA       |2025-03-10 13:49:05.374 -0300|2025-03-10 13:49:05.374 -0300|                             |124       |                                                                                                      |
|123|SCHIN             |2025-03-10 13:49:05.804 -0300|2025-03-10 13:49:05.804 -0300|                             |141       |                                                                                                      |
|124|SEARA             |2025-03-10 13:49:06.009 -0300|2025-03-10 13:49:06.009 -0300|                             |202       |                                                                                                      |
|125|SEVEN BOYS        |2025-03-10 13:49:06.230 -0300|2025-03-10 13:49:06.230 -0300|                             |101       |                                                                                                      |
|126|SKOL BEATS        |2025-03-10 13:49:06.442 -0300|2025-03-10 13:49:06.442 -0300|                             |130       |                                                                                                      |
|127|SKOL              |2025-03-10 13:49:06.650 -0300|2025-03-10 13:49:06.650 -0300|                             |130       |                                                                                                      |
|128|SOL               |2025-03-10 13:49:06.866 -0300|2025-03-10 13:49:06.866 -0300|                             |153       |                                                                                                      |
|130|STELLA ARTOIS     |2025-03-10 13:49:07.282 -0300|2025-03-10 13:49:07.282 -0300|                             |130       |                                                                                                      |
|131|SUPERBOM          |2025-03-10 13:49:07.489 -0300|2025-03-10 13:49:07.489 -0300|                             |204       |                                                                                                      |
|132|TANG              |2025-03-10 13:49:07.696 -0300|2025-03-10 13:49:07.696 -0300|                             |150       |                                                                                                      |
|133|TIAL              |2025-03-10 13:49:07.902 -0300|2025-03-10 13:49:07.902 -0300|                             |205       |                                                                                                      |
|146|RESTAURANTE X     |2025-03-20 09:12:17.325 -0300|2025-03-20 09:12:17.325 -0300|                             |          |                                                                                                      |
|178|SUNRIZE           |2026-01-29 11:53:15.748 -0300|2026-01-29 11:53:15.748 -0300|                             |221       |                                                                                                      |
|180|BELIVE            |2026-02-01 19:25:07.881 -0300|2026-02-01 19:25:07.881 -0300|                             |223       |                                                                                                      |
|179|Zaya              |2026-01-30 15:04:53.484 -0300|2026-02-02 07:52:00.505 -0300|                             |222       |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/0502a807-f4bc-4375-b27d-eb927e7e6694.png |
|1  |3 CORAÇÕES        |2025-03-10 13:48:40.514 -0300|2025-03-10 13:48:40.514 -0300|                             |124       |                                                                                                      |
|6  |ANTARCTICA        |2025-03-10 13:48:41.568 -0300|2025-03-10 13:48:41.568 -0300|                             |130       |                                                                                                      |
|11 |BALY              |2025-03-10 13:48:42.619 -0300|2025-03-10 13:48:42.619 -0300|                             |137       |                                                                                                      |
|16 |BEN & JERRY'S     |2025-03-10 13:48:43.633 -0300|2025-03-10 13:48:43.633 -0300|                             |132       |                                                                                                      |
|23 |CASA SUÍÇA        |2025-03-10 13:48:45.082 -0300|2025-03-10 13:48:45.082 -0300|                             |146       |                                                                                                      |
|30 |CORONA            |2025-03-10 13:48:46.545 -0300|2025-03-10 13:48:46.545 -0300|                             |130       |                                                                                                      |
|35 |DO BEM            |2025-03-10 13:48:47.582 -0300|2025-03-10 13:48:47.582 -0300|                             |130       |                                                                                                      |
|41 |ELMA CHIPS        |2025-03-10 13:48:48.812 -0300|2025-03-10 13:48:48.812 -0300|                             |92        |                                                                                                      |
|46 |FAZENDA FUTURO    |2025-03-10 13:48:49.841 -0300|2025-03-10 13:48:49.841 -0300|                             |160       |                                                                                                      |
|53 |GALLO             |2025-03-10 13:48:51.275 -0300|2025-03-10 13:48:51.275 -0300|                             |165       |                                                                                                      |
|59 |H2OH!             |2025-03-10 13:48:52.496 -0300|2025-03-10 13:48:52.496 -0300|                             |130       |                                                                                                      |
|64 |ISABELA           |2025-03-10 13:48:53.508 -0300|2025-03-10 13:48:53.508 -0300|                             |129       |                                                                                                      |
|70 |KIBON             |2025-03-10 13:48:54.749 -0300|2025-03-10 13:48:54.749 -0300|                             |132       |                                                                                                      |
|76 |LOLLO             |2025-03-10 13:48:56.005 -0300|2025-03-10 13:48:56.005 -0300|                             |149       |                                                                                                      |
|81 |MARATÁ            |2025-03-10 13:48:57.053 -0300|2025-03-10 13:48:57.053 -0300|                             |182       |                                                                                                      |
|87 |MOLICO            |2025-03-10 13:48:58.307 -0300|2025-03-10 13:48:58.307 -0300|                             |188       |                                                                                                      |
|93 |NIGHT POWER       |2025-03-10 13:48:59.555 -0300|2025-03-10 13:48:59.555 -0300|                             |187       |                                                                                                      |
|98 |PARMALAT          |2025-03-10 13:49:00.595 -0300|2025-03-10 13:49:00.595 -0300|                             |139       |                                                                                                      |
|104|PILÃO             |2025-03-10 13:49:01.867 -0300|2025-03-10 13:49:01.867 -0300|                             |145       |                                                                                                      |
|110|PUREZA VITAL      |2025-03-10 13:49:03.122 -0300|2025-03-10 13:49:03.122 -0300|                             |194       |                                                                                                      |
|116|RENATA            |2025-03-10 13:49:04.330 -0300|2025-03-10 13:49:04.330 -0300|                             |197       |                                                                                                      |
|122|SANTA HELENA      |2025-03-10 13:49:05.599 -0300|2025-03-10 13:49:05.599 -0300|                             |201       |                                                                                                      |
|129|SPRITE            |2025-03-10 13:49:07.075 -0300|2025-03-10 13:49:07.075 -0300|                             |127       |                                                                                                      |
|134|TIROL             |2025-03-10 13:49:08.089 -0300|2025-03-10 13:49:08.089 -0300|                             |140       |                                                                                                      |
|135|TIROLEZ           |2025-03-10 13:49:08.299 -0300|2025-03-10 13:49:08.299 -0300|                             |206       |                                                                                                      |
|136|TNT               |2025-03-10 13:49:08.503 -0300|2025-03-10 13:49:08.503 -0300|                             |180       |                                                                                                      |
|137|TODDY             |2025-03-10 13:49:08.709 -0300|2025-03-10 13:49:08.709 -0300|                             |92        |                                                                                                      |
|138|TRAKINAS          |2025-03-10 13:49:08.918 -0300|2025-03-10 13:49:08.918 -0300|                             |150       |                                                                                                      |
|139|TRENTO            |2025-03-10 13:49:09.124 -0300|2025-03-10 13:49:09.124 -0300|                             |207       |                                                                                                      |
|140|VALE FÉRTIL       |2025-03-10 13:49:09.330 -0300|2025-03-10 13:49:09.330 -0300|                             |208       |                                                                                                      |
|141|VIÇOSA            |2025-03-10 13:49:09.544 -0300|2025-03-10 13:49:09.544 -0300|                             |209       |                                                                                                      |
|142|VIGOR             |2025-03-10 13:49:09.747 -0300|2025-03-10 13:49:09.747 -0300|                             |210       |                                                                                                      |
|143|VITARELLA         |2025-03-10 13:49:09.958 -0300|2025-03-10 13:49:09.958 -0300|                             |129       |                                                                                                      |
|144|WICKBOLD          |2025-03-10 13:49:10.163 -0300|2025-03-10 13:49:10.163 -0300|                             |101       |                                                                                                      |
|145|YAKULT            |2025-03-10 13:49:10.344 -0300|2025-03-10 13:49:10.344 -0300|                             |211       |                                                                                                      |
|147|teste marca       |2025-03-20 11:39:10.938 -0300|2025-03-20 11:39:18.078 -0300|2025-03-20 11:39:18.078 -0300|212       |                                                                                                      |
|148|teste dimo        |2025-03-21 15:24:58.988 -0300|2025-03-21 15:24:58.988 -0300|                             |213       |                                                                                                      |
|149|teste let         |2025-03-28 14:31:28.066 -0300|2025-03-28 14:31:28.066 -0300|                             |2         |                                                                                                      |
|153|Fini              |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|154|Coamo             |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|155|Nutry             |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|156|Verde Campo       |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|157|Betânia           |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|158|Jussara           |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|159|Quatá             |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|160|Camponesa         |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|161|Dr. Oetker        |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|162|Itubaína          |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|163|Dom Camilo        |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|164|Carolina          |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|165|Frutap            |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|166|Aviação           |2025-11-27 11:44:28.257 -0300|2025-11-27 11:44:28.257 -0300|                             |2         |                                                                                                      |
|168|Sambazon          |2025-11-27 15:25:56.117 -0300|2025-11-27 15:25:56.117 -0300|                             |          |                                                                                                      |
|169|Cargill           |2025-11-27 15:25:56.117 -0300|2025-11-27 15:25:56.117 -0300|                             |          |                                                                                                      |
|170|Visconti          |2026-01-11 11:47:16.150 -0300|2026-01-11 11:47:16.150 -0300|                             |214       |                                                                                                      |
|171|VITAFOR           |2026-01-28 17:01:47.267 -0300|2026-01-28 17:01:47.267 -0300|                             |215       |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/922f3714-210f-4aee-a0a6-815ef5de3faa.webp|
|172|MAX TITANIUM      |2026-01-28 17:15:29.383 -0300|2026-01-28 17:15:29.383 -0300|                             |216       |                                                                                                      |
|173|ELEMENTO PURO     |2026-01-28 17:18:20.739 -0300|2026-01-28 17:18:20.739 -0300|                             |217       |                                                                                                      |
|174|OCEAN DROP        |2026-01-28 17:21:20.833 -0300|2026-01-28 17:21:20.833 -0300|                             |218       |                                                                                                      |
|175|WPINK SUPLEMENTOS |2026-01-29 10:30:51.096 -0300|2026-01-29 10:30:51.096 -0300|                             |219       |                                                                                                      |
|176|DUX HUMAN HEALTH  |2026-01-29 11:49:01.414 -0300|2026-01-29 11:49:01.414 -0300|                             |53        |                                                                                                      |
|177|PROBIÓTICA        |2026-01-29 11:50:45.749 -0300|2026-01-29 11:50:45.749 -0300|                             |220       |                                                                                                      |
