|id   |gtin_ean     |nome                                                                                                   |
|6.591|7896183201210|CREME DE LEITE PASTEURIZADO BATE CHANTILLY QUATÁ GARRAFA 1,01KG                                        |
|6.592|7896183202095|REQUEIJÃO CREMOSO QUATÁ BISNAGA 1,5KG                                                                  |
|6.593|7896279602150|MISTURA PARA BOLO BAUNILHA COAMO FÁCIL PACOTE 5KG                                                      |
|6.594|7896279602204|MISTURA PARA BOLO CHOCOLATE COAMO FÁCIL PACOTE 5KG                                                     |
|6.595|7891048036907|CHÁ LARANJA_DOCE, GENGIBRE, CHÁ VERDE, HIBISCO, ACEROLA, LIMÃO E MEL DR. OETKER CAIXA 22,5G 15 UNIDADES|
|6.596|7898205925654|COALHADA SECA VERDE CAMPO POTE 180G                                                                    |
|6.597|7898205925647|SOBREMESA LÁCTEA FERMENTADA BANANA COM CANELA ZERO LACTOSE VERDE CAMPO POTE 200G 2 UNIDADES            |
|6.598|7898205925562|IOGURTE BICAMADA BANANA COM CANELA ZERO LACTOSE VERDE CAMPO NATURAL WHEY POTE 140G                     |
|6.599|7898403781052|PETIT SUISSE MORANGO TURMA DA MÔNICA BETÂNIA KIDS BANDEJA 320G 8 UNIDADES                              |
|6.600|7896691104355|LEITE FERMENTADO DESNATADO BAUNILHA CAROLINA GARRAFA 1250G TAMANHO FAMÍLIA                             |
|6.601|7898064011970|LEITE FERMENTADO DESNATADO MORANGO BETÂNIA KIDS CAIXA 80G                                              |
|6.602|7898403782028|CREME DE LEITE UHT HOMOGENEIZADO ZERO LACTOSE BETÂNIA CAIXA 200G                                       |
|6.603|7898403780925|CREME DE LEITE UHT LEVE HOMOGENEIZADO BETÂNIA CAIXA 200G                                               |
|6.604|7896862002107|LEITE FERMENTADO DESNATADO FRUTAP FRASCO 170G                                                          |
|6.605|7898064011659|BEBIDA LÁCTEA UHT BANANA ZERO LACTOSE BETÂNIA YOBEM WHEY CAIXA 250ML                                   |
|6.606|7898403782059|IOGURTE DESNATADO NATURAL ZERO LACTOSE BETÂNIA COPO 170G                                               |
|6.607|7898064011901|IOGURTE PARCIALMENTE DESNATADO NATURAL ZERO LACTOSE BETÂNIA YOBEM WHEY POTE 170G                       |
|6.608|7898403782691|LEITE FERMENTADO DESNATADO BETÂNIA FRASCO 170G                                                         |
|6.609|7898205924206|IOGURTE DESNATADO BANANA ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 250G                             |
|6.610|7898205923858|REQUEIJÃO CREMOSO ZERO LACTOSE VERDE CAMPO LACFREE COPO 180G                                           |
|6.611|7896259426165|CREAM CHEESE CAMPONESA PROFISSIONAL BISNAGA 1,01KG                                                     |
|6.612|7898205923940|IOGURTE DESNATADO MAÇÃ, BANANA E MAMÃO ZERO LACTOSE VERDE CAMPO LACFREE GARRAFA 500G                   |
|6.613|7898403782714|LEITE FERMENTADO DESNATADO TRADICIONAL BETÂNIA KIDS CAIXA 80G                                          |
|6.614|7898950516053|IOGURTE DESNATADO MORANGO BETÂNIA COPO 170G                                                            |
|6.615|7896259426356|DOCE DE LEITE CAMPONESA PROFISSIONAL BISNAGA 1,01KG                                                    |
|6.616|7898205924398|BEBIDA LÁCTEA UHT BAUNILHA ZERO LACTOSE VERDE CAMPO NATURAL WHEY CAIXA 250ML                           |
|6.617|7896259416364|LEITE UHT DESNATADO ZERO LACTOSE CAMPONESA CAIXA COM TAMPA 1L                                          |
|6.618|7896691104256|IOGURTE PARCIALMENTE DESNATADO CALDA MARACUJÁ CAROLINA DUET COPO 130G                                  |
|6.619|7898403781496|IOGURTE DESNATADO AMEIXA ZERO LACTOSE BETÂNIA YOBEM GARRAFA 800G                                       |
|6.620|7898403781458|IOGURTE DESNATADO MORANGO ZERO LACTOSE BETÂNIA YOBEM FRASCO 170G                                       |
|6.621|7898403781465|IOGURTE DESNATADO MORANGO ZERO LACTOSE BETÂNIA YOBEM GARRAFA 800G                                      |
|6.622|7898403782790|PACK LEITE FERMENTADO DESNATADO TRADICIONAL TURMA DA MÔNICA BETÂNIA KIDS CAIXA 6 UNIDADES 80G CADA     |
|6.623|7898403782929|LEITE PÓ INTEGRAL BETÂNIA PACOTE 800G EMBALAGEM ECONÔMICA                                              |
|6.624|7898950516084|BEBIDA LÁCTEA FERMENTADA MORANGO BETÂNIA BANDEJA 680G LEVE 8 PAGUE 7 UNIDADES                          |
|6.625|7898403780758|BEBIDA LÁCTEA FERMENTADA MORANGO BETÂNIA BAT GUT PACOTE 450G                                           |
|6.626|7898403780574|BEBIDA LÁCTEA FERMENTADA MORANGO BETÂNIA BANDEJA 540G 6 UNIDADES                                       |
|6.627|7898403781021|BEBIDA LÁCTEA FERMENTADA GRAVIOLA BETÂNIA BAT GUT PACOTE 900G                                          |
|6.628|7898403780277|COALHADA INTEGRAL ADOÇADA BETÂNIA POTE 140G                                                            |
|6.629|7898403780710|IOGURTE INTEGRAL MEL BETÂNIA COPO 170G                                                                 |
|6.630|7898403782721|IOGURTE INTEGRAL MORANGO _ BANANA E MAÇÃ TURMA DA MÔNICA BETÂNIA KIDS BANDEJA 540G 6 UNIDADES          |
|6.631|7898403780116|REQUEIJÃO CREMOSO BETÂNIA COPO 200G                                                                    |
|6.632|7898403781632|IOGURTE INTEGRAL CALDA MORANGO BETÂNIA COPO 150G                                                       |
|6.633|7898064011796|IOGURTE PARCIALMENTE DESNATADO MORANGO ZERO LACTOSE BETÂNIA YOBEM WHEY FRASCO 250G                     |
|6.634|7898205924794|IOGURTE PARCIALMENTE DESNATADO TRADICIONAL VERDE CAMPO PROBIÓTICO GARRAFA 500G                         |
|6.635|7898205924916|IOGURTE DESNATADO MORANGO ZERO LACTOSE VERDE CAMPO 21G PROTEÍNAS NATURAL WHEY FRASCO 250G              |
|6.636|7896283800849|BEBIDA LÁCTEA UHT BANANA ZERO LACTOSE JUSSARA WHEY PROTEIN CAIXA 250ML                                 |
|6.637|7898205925203|IOGURTE DESNATADO TORTA DE LIMÃO ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 250G                     |
|6.638|7896862000875|IOGURTE PARCIALMENTE DESNATADO MORANGO FRUTAP GARRAFA 900G                                             |
|6.639|7898064011895|IOGURTE PARCIALMENTE DESNATADO MORANGO E BANANA ZERO LACTOSE BETÂNIA YOBEM WHEY POTE 170G              |
|6.640|7898205924862|IOGURTE PARCIALMENTE DESNATADO BANANA E MAÇÃ VERDE CAMPO FRASCO 170G                                   |
|6.641|7898205925265|IOGURTE PARCIALMENTE DESNATADO COCO VERDE CAMPO PROBIÓTICO GARRAFA 500G                                |
|6.642|7896183203122|QUEIJO REINO QUATÁ                                                                                     |
|6.643|7896259425410|QUEIJO MUSSARELA FATIADO CAMPONESA 150G                                                                |
|6.644|7896183203269|QUEIJO EMMENTAL QUATÁ                                                                                  |
|6.645|7898598750574|QUEIJO EMMENTAL QUATÁ 170G                                                                             |
|6.646|7896183206031|QUEIJO GORGONZOLA QUATÁ                                                                                |
|6.647|7896183203184|QUEIJO GORGONZOLA QUATÁ                                                                                |
|6.648|7896259426387|QUEIJO MINAS PADRÃO FATIADO CAMPONESA 150G                                                             |
