|id |id_grupo_usuario_adm|id_permissao_adm|createdAt                    |updatedAt                    |
|51 |1                   |51              |2025-03-06 15:49:30.422 -0300|2025-03-06 15:49:30.422 -0300|
|52 |1                   |52              |2025-03-06 15:49:30.422 -0300|2025-03-06 15:49:30.422 -0300|
|53 |1                   |53              |2025-03-06 15:49:30.422 -0300|2025-03-06 15:49:30.422 -0300|
|54 |1                   |54              |2025-03-06 15:49:30.422 -0300|2025-03-06 15:49:30.422 -0300|
|55 |1                   |55              |2025-10-30 17:07:59.913 -0300|2025-10-30 17:07:59.913 -0300|
|56 |1                   |56              |2025-10-30 17:07:59.913 -0300|2025-10-30 17:07:59.913 -0300|
|57 |1                   |57              |2025-10-30 17:07:59.913 -0300|2025-10-30 17:07:59.913 -0300|
|58 |1                   |58              |2025-10-30 17:07:59.913 -0300|2025-10-30 17:07:59.913 -0300|
|59 |1                   |59              |2025-10-30 17:07:59.913 -0300|2025-10-30 17:07:59.913 -0300|
|60 |1                   |60              |2025-10-30 17:07:59.913 -0300|2025-10-30 17:07:59.913 -0300|
|61 |1                   |61              |2025-10-30 17:07:59.913 -0300|2025-10-30 17:07:59.913 -0300|
|62 |1                   |62              |2025-10-30 17:07:59.913 -0300|2025-10-30 17:07:59.913 -0300|
