|id |id_usuario|pontos|tipo_origem          |origem_id|data_expiracao               |observacoes                                                                                                                                                     |createdAt                    |updatedAt                    |status  |
|55 |27.559    |100   |bonus                |         |2026-12-15 01:12:36.559 -0300|Cadastro completo - 100 pontos                                                                                                                                  |2025-12-15 01:12:36.559 -0300|2025-12-15 01:12:36.559 -0300|ativo   |
|56 |27.559    |50    |pesquisa_subcategoria|104      |2026-12-15 01:18:32.871 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-15 01:18:32.871 -0300|2025-12-15 01:18:32.871 -0300|ativo   |
|57 |27.559    |55    |pesquisa_produto     |214      |2026-12-15 01:18:33.124 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-15 01:18:33.124 -0300|2025-12-15 01:18:33.124 -0300|ativo   |
|58 |27.559    |50    |pesquisa_subcategoria|311      |2026-12-15 01:22:28.039 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-15 01:22:28.040 -0300|2025-12-15 01:22:28.040 -0300|ativo   |
|59 |27.559    |55    |pesquisa_produto     |70       |2026-12-15 01:22:28.298 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-15 01:22:28.299 -0300|2025-12-15 01:22:28.299 -0300|ativo   |
|60 |27.560    |100   |bonus                |         |2026-12-15 19:07:28.143 -0300|Cadastro completo - 100 pontos                                                                                                                                  |2025-12-15 19:07:28.144 -0300|2025-12-15 19:07:28.144 -0300|ativo   |
|61 |27.560    |50    |pesquisa_subcategoria|136      |2026-12-15 19:11:40.574 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-15 19:11:40.574 -0300|2025-12-15 19:11:40.574 -0300|ativo   |
|62 |27.560    |55    |pesquisa_produto     |203      |2026-12-15 19:11:40.844 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-15 19:11:40.844 -0300|2025-12-15 19:11:40.844 -0300|ativo   |
|63 |27.560    |50    |bonus                |         |2026-12-15 19:11:58.077 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-15 19:11:58.077 -0300|2025-12-15 19:11:58.077 -0300|ativo   |
|64 |27.560    |50    |pesquisa_subcategoria|195      |2026-12-15 19:14:28.568 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-15 19:14:28.568 -0300|2025-12-15 19:14:28.568 -0300|ativo   |
|65 |27.560    |55    |pesquisa_produto     |208      |2026-12-15 19:14:28.858 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-15 19:14:28.858 -0300|2025-12-15 19:14:28.858 -0300|ativo   |
|66 |27.562    |100   |bonus                |         |2026-12-15 20:18:15.811 -0300|Cadastro completo - 100 pontos                                                                                                                                  |2025-12-15 20:18:15.814 -0300|2025-12-15 20:18:15.814 -0300|ativo   |
|67 |27.562    |50    |pesquisa_subcategoria|137      |2026-12-15 20:24:06.449 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-15 20:24:06.449 -0300|2025-12-15 20:24:06.449 -0300|ativo   |
|68 |27.562    |55    |pesquisa_produto     |204      |2026-12-15 20:24:06.633 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-15 20:24:06.633 -0300|2025-12-15 20:24:06.633 -0300|ativo   |
|69 |27.562    |50    |bonus                |         |2026-12-15 20:24:24.296 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-15 20:24:24.297 -0300|2025-12-15 20:24:24.297 -0300|ativo   |
|70 |27.562    |50    |pesquisa_subcategoria|260      |2026-12-15 20:29:09.672 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-15 20:29:09.672 -0300|2025-12-15 20:29:09.672 -0300|ativo   |
|71 |27.562    |55    |pesquisa_produto     |170      |2026-12-15 20:29:09.903 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-15 20:29:09.903 -0300|2025-12-15 20:29:09.903 -0300|ativo   |
|72 |27.562    |50    |bonus                |         |2026-12-15 20:29:19.515 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-15 20:29:19.516 -0300|2025-12-15 20:29:19.516 -0300|ativo   |
|91 |27.564    |100   |bonus                |         |2026-12-17 10:59:59.803 -0300|Cadastro completo - 100 pontos                                                                                                                                  |2025-12-17 10:59:59.804 -0300|2025-12-17 10:59:59.804 -0300|ativo   |
|92 |27.564    |50    |pesquisa_subcategoria|284      |2026-12-17 11:02:12.167 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-17 11:02:12.168 -0300|2025-12-17 11:02:12.168 -0300|ativo   |
|93 |27.564    |55    |pesquisa_produto     |119      |2026-12-17 11:02:13.141 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-17 11:02:13.142 -0300|2025-12-17 11:02:13.142 -0300|ativo   |
|94 |27.564    |50    |bonus                |         |2026-12-17 11:02:28.065 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-17 11:02:28.066 -0300|2025-12-17 11:02:28.066 -0300|ativo   |
|97 |27.558    |50    |bonus                |         |2026-12-17 17:57:18.655 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-17 17:57:18.655 -0300|2025-12-17 17:57:18.655 -0300|ativo   |
|98 |27.558    |55    |pesquisa_produto     |42       |2026-12-17 17:59:44.470 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-17 17:59:44.470 -0300|2025-12-17 17:59:44.470 -0300|ativo   |
|99 |27.558    |50    |bonus                |         |2026-12-17 18:00:20.686 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-17 18:00:20.686 -0300|2025-12-17 18:00:20.686 -0300|ativo   |
|100|27.558    |55    |pesquisa_produto     |42       |2026-12-17 18:02:32.903 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-17 18:02:32.904 -0300|2025-12-17 18:02:32.904 -0300|ativo   |
|101|27.558    |50    |bonus                |         |2026-12-17 18:02:42.407 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-17 18:02:42.407 -0300|2025-12-17 18:02:42.407 -0300|ativo   |
|37 |27.558    |100   |bonus                |         |2026-12-14 23:38:46.163 -0300|Cadastro completo - 100 pontos - Bloqueado para resgate: Resgate de benefício: Benefício (ID: 1)                                                                |2025-12-14 23:38:46.163 -0300|2025-12-17 18:03:13.284 -0300|pendente|
