|id |id_usuario|id_pesquisa_produto|id_pesquisa_subcategoria|id_resposta_pesquisa|id_produto|comentario                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |createdAt                    |updatedAt                    |deletedAt|
|28 |27.570    |                   |266                     |                    |3.993     |Gostaria de achar esse produto na minha cidade                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |2025-12-26 19:23:15.529 -0300|2025-12-26 19:23:15.529 -0300|         |
|29 |27.572    |                   |104                     |                    |3.028     |.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |2025-12-28 21:26:05.690 -0300|2025-12-28 21:26:05.690 -0300|         |
|30 |27.584    |                   |118                     |                    |2.871     |Gostoso demais                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |2025-12-29 06:51:35.988 -0300|2025-12-29 06:51:35.988 -0300|         |
|31 |27.584    |                   |104                     |                    |3.028     |E rapido e platico e super docinho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |2025-12-29 06:54:41.790 -0300|2025-12-29 06:54:41.790 -0300|         |
|32 |27.584    |                   |311                     |                    |5.945     |Uma ótima opção                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |2025-12-29 06:57:17.472 -0300|2025-12-29 06:57:17.472 -0300|         |
|33 |27.584    |                   |29                      |                    |2.372     |Aqui casa todos gostam muito                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |2025-12-29 06:59:53.507 -0300|2025-12-29 06:59:53.507 -0300|         |
|34 |27.584    |                   |30                      |                    |6.289     |Compro pra todos minha casa                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |2025-12-29 07:03:57.144 -0300|2025-12-29 07:03:57.144 -0300|         |
|35 |27.591    |                   |29                      |                    |5.126     |Muito acucarado                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |2025-12-29 13:30:57.254 -0300|2025-12-29 13:30:57.254 -0300|         |
|36 |27.591    |                   |138                     |                    |2.474     |eu amei esse macarrão e meus filhos tambem,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |2025-12-29 13:43:30.175 -0300|2025-12-29 13:43:30.175 -0300|         |
|37 |27.591    |                   |104                     |                    |3.028     |Usei no natal. Uma maravilha!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |2025-12-29 13:47:21.474 -0300|2025-12-29 13:47:21.474 -0300|         |
