|id |id_grupo_usuario_empresa|id_permissao_empresa|createdAt                    |updatedAt                    |
|137|13                      |11                  |2026-01-29 11:53:04.777 -0300|2026-01-29 11:53:04.777 -0300|
|138|14                      |1                   |2026-01-30 15:04:35.188 -0300|2026-01-30 15:04:35.188 -0300|
|139|14                      |2                   |2026-01-30 15:04:35.196 -0300|2026-01-30 15:04:35.196 -0300|
|140|14                      |3                   |2026-01-30 15:04:35.201 -0300|2026-01-30 15:04:35.201 -0300|
|141|14                      |4                   |2026-01-30 15:04:35.204 -0300|2026-01-30 15:04:35.204 -0300|
|142|14                      |5                   |2026-01-30 15:04:35.208 -0300|2026-01-30 15:04:35.208 -0300|
|143|14                      |6                   |2026-01-30 15:04:35.211 -0300|2026-01-30 15:04:35.211 -0300|
|144|14                      |7                   |2026-01-30 15:04:35.215 -0300|2026-01-30 15:04:35.215 -0300|
|145|14                      |8                   |2026-01-30 15:04:35.218 -0300|2026-01-30 15:04:35.218 -0300|
|146|14                      |9                   |2026-01-30 15:04:35.222 -0300|2026-01-30 15:04:35.222 -0300|
|147|14                      |10                  |2026-01-30 15:04:35.225 -0300|2026-01-30 15:04:35.225 -0300|
|148|14                      |11                  |2026-01-30 15:04:35.228 -0300|2026-01-30 15:04:35.228 -0300|
|149|15                      |1                   |2026-02-01 19:24:52.596 -0300|2026-02-01 19:24:52.596 -0300|
|150|15                      |2                   |2026-02-01 19:24:52.602 -0300|2026-02-01 19:24:52.602 -0300|
|151|15                      |3                   |2026-02-01 19:24:52.606 -0300|2026-02-01 19:24:52.606 -0300|
|152|15                      |4                   |2026-02-01 19:24:52.609 -0300|2026-02-01 19:24:52.609 -0300|
|153|15                      |5                   |2026-02-01 19:24:52.612 -0300|2026-02-01 19:24:52.612 -0300|
|154|15                      |6                   |2026-02-01 19:24:52.615 -0300|2026-02-01 19:24:52.615 -0300|
|155|15                      |7                   |2026-02-01 19:24:52.619 -0300|2026-02-01 19:24:52.619 -0300|
|156|15                      |8                   |2026-02-01 19:24:52.622 -0300|2026-02-01 19:24:52.622 -0300|
|157|15                      |9                   |2026-02-01 19:24:52.625 -0300|2026-02-01 19:24:52.625 -0300|
|158|15                      |10                  |2026-02-01 19:24:52.628 -0300|2026-02-01 19:24:52.628 -0300|
|159|15                      |11                  |2026-02-01 19:24:52.631 -0300|2026-02-01 19:24:52.631 -0300|
